Record Type,Account Number,Account Name,Date,Credit Amount,Debit Amount,Code,Description,Reference,Memo
Balance,41927021,Atlantic Care Government Clearing,7/8/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/8/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/8/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/8/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/8/2025,19638.52,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/8/2025,19638.52,,400,Total Debits,,
Detail,41927021,Atlantic Care Government Clearing,7/8/2025,11419.27,,142,DDA ACH Deposit,7000,NOVITAS SOLUTION HCCLAIMPMT TRN*1*EFT5738568*1205296137*00
Detail,41927021,Atlantic Care Government Clearing,7/8/2025,8219.25,,142,DDA ACH Deposit,42783,ACH MEDICAID HCCLAIMPMT TRN*1*XXXXX9114*1593452939~
Detail,41927021,Atlantic Care Government Clearing,7/8/2025,,19638.52,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0041927018
Balance,41927021,Atlantic Care Government Clearing,7/7/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/7/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/7/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/7/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/7/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/7/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/7/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/7/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/7/2025,,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/7/2025,,,400,Total Debits,,
Balance,41927021,Atlantic Care Government Clearing,7/3/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/3/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/3/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/3/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/3/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/3/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/3/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/3/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/3/2025,1568.73,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/3/2025,1568.73,,400,Total Debits,,
Detail,41927021,Atlantic Care Government Clearing,7/3/2025,1568.73,,142,DDA ACH Deposit,194493,NOVITAS SOLUTION HCCLAIMPMT TRN*1*EFT5736939*1205296137*00
Detail,41927021,Atlantic Care Government Clearing,7/3/2025,,1568.73,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0041927018
Balance,41927021,Atlantic Care Government Clearing,7/2/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/2/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/2/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/2/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/2/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/2/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/2/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/2/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/2/2025,26463.62,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/2/2025,26463.62,,400,Total Debits,,
Detail,41927021,Atlantic Care Government Clearing,7/2/2025,26463.62,,142,DDA ACH Deposit,57414,NOVITAS SOLUTION HCCLAIMPMT TRN*1*EFT5735886*1205296137*00
Detail,41927021,Atlantic Care Government Clearing,7/2/2025,,26463.62,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0041927018
Balance,41927021,Atlantic Care Government Clearing,7/1/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/1/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/1/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/1/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/1/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/1/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/1/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/1/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/1/2025,438198.22,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/1/2025,438198.22,,400,Total Debits,,
Detail,41927021,Atlantic Care Government Clearing,7/1/2025,12768.54,,142,DDA ACH Deposit,148622,NOVITAS SOLUTION HCCLAIMPMT TRN*1*EFT5734493*1205296137*00
Detail,41927021,Atlantic Care Government Clearing,7/1/2025,,12768.54,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0041927018
